week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,artist_title,base_artist,expand,key
4/16/2011,88,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,-,78,2,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
4/23/2011,10,rolling in the deep,Adele,10,10,14,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/23/2011,66,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,88,66,3,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
4/30/2011,6,rolling in the deep,Adele,10,6,15,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/30/2011,56,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,66,56,4,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/7/2011,2,rolling in the deep,Adele,6,2,16,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
5/7/2011,52,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,56,52,5,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/14/2011,2,rolling in the deep,Adele,2,2,17,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
5/14/2011,38,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,52,38,6,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/21/2011,1,rolling in the deep,Adele,2,1,18,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
5/21/2011,24,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,38,24,7,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/28/2011,1,rolling in the deep,Adele,1,1,19,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
5/28/2011,20,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,24,20,8,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/4/2011,1,rolling in the deep,Adele,1,1,20,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
6/4/2011,8,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,20,8,9,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/11/2011,1,rolling in the deep,Adele,1,1,21,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
6/11/2011,9,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,8,8,10,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/18/2011,1,rolling in the deep,Adele,1,1,22,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
6/18/2011,6,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,9,6,11,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/25/2011,1,rolling in the deep,Adele,1,1,23,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
6/25/2011,3,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,6,3,12,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/2/2011,1,rolling in the deep,Adele,1,1,24,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
7/2/2011,3,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,3,3,13,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/9/2011,2,rolling in the deep,Adele,1,1,25,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
7/9/2011,3,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,3,3,14,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/16/2011,1,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,3,1,15,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/16/2011,3,rolling in the deep,Adele,2,1,26,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
7/23/2011,1,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,16,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/23/2011,3,rolling in the deep,Adele,3,1,27,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
7/30/2011,1,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,17,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/30/2011,4,rolling in the deep,Adele,3,1,28,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
8/6/2011,1,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,18,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
8/6/2011,5,rolling in the deep,Adele,4,1,29,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
8/13/2011,1,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,19,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
8/13/2011,6,rolling in the deep,Adele,5,1,30,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
8/20/2011,1,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,20,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
8/20/2011,9,rolling in the deep,Adele,6,1,31,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
8/27/2011,2,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,1,21,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
8/27/2011,12,rolling in the deep,Adele,9,1,32,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
9/3/2011,2,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,1,22,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
9/3/2011,13,rolling in the deep,Adele,12,1,33,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
9/10/2011,2,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,1,23,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
9/10/2011,14,rolling in the deep,Adele,13,1,34,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
9/17/2011,4,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,1,24,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
9/17/2011,17,rolling in the deep,Adele,14,1,35,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
9/24/2011,4,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,4,1,25,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
9/24/2011,17,rolling in the deep,Adele,17,1,36,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
10/1/2011,4,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,4,1,26,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
10/1/2011,20,rolling in the deep,Adele,17,1,37,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
10/8/2011,4,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,4,1,27,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
10/8/2011,22,rolling in the deep,Adele,20,1,38,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
10/15/2011,5,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,4,1,28,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
10/15/2011,21,rolling in the deep,Adele,22,1,39,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
10/22/2011,6,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,5,1,29,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
10/22/2011,21,rolling in the deep,Adele,21,1,40,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
10/29/2011,9,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,6,1,30,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
10/29/2011,23,rolling in the deep,Adele,21,1,41,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
11/5/2011,10,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,9,1,31,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
11/5/2011,27,rolling in the deep,Adele,23,1,42,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
11/12/2011,8,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,10,1,32,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
11/12/2011,29,rolling in the deep,Adele,27,1,43,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
11/19/2011,10,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,8,1,33,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
11/19/2011,28,rolling in the deep,Adele,29,1,44,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
11/26/2011,14,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,10,1,34,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
11/26/2011,34,rolling in the deep,Adele,28,1,45,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
12/3/2011,16,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,14,1,35,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
12/3/2011,36,rolling in the deep,Adele,34,1,46,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
12/10/2011,10,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,16,1,36,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
12/10/2011,38,rolling in the deep,Adele,36,1,47,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
12/17/2011,12,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,10,1,37,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
12/17/2011,36,rolling in the deep,Adele,38,1,48,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
12/24/2011,13,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,12,1,38,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
12/24/2011,40,rolling in the deep,Adele,36,1,49,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
12/31/2011,15,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,13,1,39,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
12/31/2011,41,rolling in the deep,Adele,40,1,50,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
1/7/2012,9,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,15,1,40,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
1/7/2012,35,rolling in the deep,Adele,41,1,51,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
1/14/2012,6,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,9,1,41,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
1/14/2012,30,rolling in the deep,Adele,35,1,52,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
1/21/2012,9,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,6,1,42,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
1/21/2012,36,rolling in the deep,Adele,30,1,53,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
1/21/2012,91,somebody that i used to know,Gotye Featuring Kimbra,-,91,1,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
1/28/2012,12,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,9,1,43,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
1/28/2012,40,rolling in the deep,Adele,36,1,54,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
1/28/2012,58,somebody that i used to know,Gotye Featuring Kimbra,91,58,2,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
2/4/2012,16,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,12,1,44,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
2/4/2012,41,rolling in the deep,Adele,40,1,55,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/4/2012,50,somebody that i used to know,Gotye Featuring Kimbra,58,50,3,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
2/11/2012,20,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,16,1,45,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
2/11/2012,31,somebody that i used to know,Gotye Featuring Kimbra,50,31,4,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
2/11/2012,43,rolling in the deep,Adele,41,1,56,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/18/2012,20,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,20,1,46,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
2/18/2012,27,somebody that i used to know,Gotye Featuring Kimbra,31,27,5,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
2/18/2012,44,rolling in the deep,Adele,43,1,57,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/25/2012,17,rolling in the deep,Adele,44,1,58,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
2/25/2012,18,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,20,1,47,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
2/25/2012,26,somebody that i used to know,Gotye Featuring Kimbra,27,26,6,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
3/3/2012,5,rolling in the deep,Adele,17,1,59,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/3/2012,27,somebody that i used to know,Gotye Featuring Kimbra,26,26,7,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
3/3/2012,29,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,18,1,48,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
3/10/2012,16,somebody that i used to know,Gotye Featuring Kimbra,27,16,8,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
3/10/2012,23,rolling in the deep,Adele,5,1,60,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/10/2012,26,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,29,1,49,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
3/17/2012,9,somebody that i used to know,Gotye Featuring Kimbra,16,9,9,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
3/17/2012,25,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,26,1,50,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
3/17/2012,32,rolling in the deep,Adele,23,1,61,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/24/2012,5,somebody that i used to know,Gotye Featuring Kimbra,9,5,10,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
3/24/2012,26,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,25,1,51,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
3/24/2012,30,rolling in the deep,Adele,32,1,62,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
3/31/2012,5,somebody that i used to know,Gotye Featuring Kimbra,5,5,11,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
3/31/2012,27,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,26,1,52,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
3/31/2012,33,rolling in the deep,Adele,30,1,63,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/7/2012,4,somebody that i used to know,Gotye Featuring Kimbra,5,4,12,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
4/7/2012,29,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,27,1,53,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
4/7/2012,43,rolling in the deep,Adele,33,1,64,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/14/2012,3,somebody that i used to know,Gotye Featuring Kimbra,4,3,13,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
4/14/2012,32,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,29,1,54,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
4/14/2012,49,rolling in the deep,Adele,43,1,65,Adele-Rolling In The Deep,adele,,adele_rolling in the deep
4/21/2012,2,somebody that i used to know,Gotye Featuring Kimbra,3,2,14,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
4/21/2012,37,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,32,1,55,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
4/28/2012,1,somebody that i used to know,Gotye Featuring Kimbra,2,1,15,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
4/28/2012,41,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,37,1,56,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/5/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,16,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
5/5/2012,43,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,41,1,57,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/12/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,17,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
5/12/2012,41,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,43,1,58,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/19/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,18,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
5/19/2012,44,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,41,1,59,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
5/26/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,19,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
5/26/2012,44,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,44,1,60,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/2/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,20,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
6/2/2012,38,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,44,1,61,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/9/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,21,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
6/9/2012,39,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,38,1,62,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/16/2012,1,somebody that i used to know,Gotye Featuring Kimbra,1,1,22,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
6/16/2012,42,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,39,1,63,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/23/2012,2,somebody that i used to know,Gotye Featuring Kimbra,1,1,23,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
6/23/2012,45,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,42,1,64,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
6/30/2012,2,somebody that i used to know,Gotye Featuring Kimbra,2,1,24,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
6/30/2012,45,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,45,1,65,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/7/2012,3,somebody that i used to know,Gotye Featuring Kimbra,2,1,25,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
7/7/2012,45,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,45,1,66,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/14/2012,3,somebody that i used to know,Gotye Featuring Kimbra,3,1,26,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
7/14/2012,50,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,45,1,67,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/21/2012,3,somebody that i used to know,Gotye Featuring Kimbra,3,1,27,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
7/21/2012,49,party rock anthem,LMFAO Featuring Lauren Bennett & GoonRock,50,1,68,LMFAO Featuring Lauren Bennett & GoonRock-Party Rock Anthem,lmfao,Lauren Bennett & GoonRock,lmfao_party rock anthem
7/28/2012,4,somebody that i used to know,Gotye Featuring Kimbra,3,1,28,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
8/4/2012,5,somebody that i used to know,Gotye Featuring Kimbra,4,1,29,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
8/11/2012,6,somebody that i used to know,Gotye Featuring Kimbra,5,1,30,Gotye Featuring Kimbra-Somebody That I Used To Know,gotye,Kimbra,gotye_somebody that i used to know
